x,y,v,material,matrix_v
25.0,25.0,0.3225754024451552,matrix,0.3225754024451552
75.0,25.0,0.4787777105747709,matrix,0.4787777105747709
125.0,25.0,0.7066471269760113,matrix,0.7066471269760113
175.0,25.0,0.9365142188738742,matrix,0.9365142188738742
225.0,25.0,1.2637813018085169,matrix,1.2637813018085169
275.0,25.0,1.6082140925978685,matrix,1.6082140925978685
325.0,25.0,1.9445605521882714,matrix,1.9445605521882714
375.0,25.0,2.163854451852754,matrix,2.163854451852754
425.0,25.0,2.118720299128794,matrix,2.118720299128794
475.0,25.0,1.8203074552244827,matrix,1.8203074552244827
525.0,25.0,1.3382747521779936,matrix,1.3382747521779936
575.0,25.0,0.8230301041436321,matrix,0.8230301041436321
625.0,25.0,0.29999642644873925,matrix,0.29999642644873925
675.0,25.0,-0.19829043074304675,matrix,-0.19829043074304675
725.0,25.0,-0.7399755963439685,matrix,-0.7399755963439685
775.0,25.0,-1.2249179346393784,matrix,-1.2249179346393784
825.0,25.0,-1.5364480789551358,matrix,-1.5364480789551358
875.0,25.0,-1.7093053085343328,matrix,-1.7093053085343328
925.0,25.0,-1.7683965558053503,matrix,-1.7683965558053503
975.0,25.0,-1.7496633122792846,matrix,-1.7496633122792846
1025.0,25.0,-1.6496664448582554,matrix,-1.6496664448582554
1075.0,25.0,-1.537437111760359,matrix,-1.537437111760359
1125.0,25.0,-1.436864478465109,matrix,-1.436864478465109
1175.0,25.0,-1.4081112656218464,matrix,-1.4081112656218464
1225.0,25.0,-1.5298238049704205,matrix,-1.5298238049704205
1275.0,25.0,-1.7694766664055837,matrix,-1.7694766664055837
1325.0,25.0,-2.0927420058995487,matrix,-2.0927420058995487
1375.0,25.0,-2.4374090591566,matrix,-2.4374090591566
1425.0,25.0,-2.840848414187901,matrix,-2.840848414187901
1475.0,25.0,-3.2230980874304183,matrix,-3.2230980874304183
1525.0,25.0,-3.5000430029038476,matrix,-3.5000430029038476
1575.0,25.0,-3.628221303043727,matrix,-3.628221303043727
1625.0,25.0,-3.63659604228709,matrix,-3.63659604228709
1675.0,25.0,-3.5207309511812577,matrix,-3.5207309511812577
1725.0,25.0,-3.243931748061441,matrix,-3.243931748061441
1775.0,25.0,-2.8447959642215053,matrix,-2.8447959642215053
1825.0,25.0,-2.4150441144013683,matrix,-2.4150441144013683
1875.0,25.0,-2.0642343307340356,matrix,-2.0642343307340356
1925.0,25.0,-1.7641337011338685,matrix,-1.7641337011338685
1975.0,25.0,-1.3982168990824149,matrix,-1.3982168990824149
2025.0,25.0,-0.9925298729504193,matrix,-0.9925298729504193
2075.0,25.0,-0.633642966348485,matrix,-0.633642966348485
2125.0,25.0,-0.37202845404180795,matrix,-0.37202845404180795
2175.0,25.0,-0.18008536731776292,matrix,-0.18008536731776292
2225.0,25.0,-0.058106894086766614,matrix,-0.058106894086766614
2275.0,25.0,-0.006737039427516134,matrix,-0.006737039427516134
2325.0,25.0,0.015201684342577404,matrix,0.015201684342577404
2375.0,25.0,0.01685641119836545,matrix,0.01685641119836545
2425.0,25.0,0.05201275435501018,matrix,0.05201275435501018
2475.0,25.0,0.19161822077230667,matrix,0.19161822077230667
2525.0,25.0,0.39503058462561064,matrix,0.39503058462561064
2575.0,25.0,0.6260022658878979,matrix,0.6260022658878979
2625.0,25.0,0.9017273043624069,matrix,0.9017273043624069
2675.0,25.0,1.1969033641490394,matrix,1.1969033641490394
2725.0,25.0,1.3534722173232974,matrix,1.3534722173232974
2775.0,25.0,1.2912714271482921,matrix,1.2912714271482921
2825.0,25.0,1.008152686018769,matrix,1.008152686018769
2875.0,25.0,0.6416432771515483,matrix,0.6416432771515483
2925.0,25.0,0.2612350694960066,matrix,0.2612350694960066
2975.0,25.0,-0.05231446202913781,matrix,-0.05231446202913781
3025.0,25.0,-0.2777165491236666,matrix,-0.2777165491236666
3075.0,25.0,-0.3318217967200582,matrix,-0.3318217967200582
3125.0,25.0,-0.2641598332499908,matrix,-0.2641598332499908
3175.0,25.0,-0.07566945238725586,matrix,-0.07566945238725586
3225.0,25.0,0.22724602408492967,matrix,0.22724602408492967
3275.0,25.0,0.4190984861727304,matrix,0.4190984861727304
3325.0,25.0,0.3999337598669068,matrix,0.3999337598669068
3375.0,25.0,0.10207844952476564,matrix,0.10207844952476564
3425.0,25.0,-0.4075844567116875,matrix,-0.4075844567116875
3475.0,25.0,-0.9347153739509129,matrix,-0.9347153739509129
3525.0,25.0,-1.3688249355555837,matrix,-1.3688249355555837
3575.0,25.0,-1.600683750080107,matrix,-1.600683750080107
3625.0,25.0,-1.6008112713698441,matrix,-1.6008112713698441
3675.0,25.0,-1.4273197381196316,matrix,-1.4273197381196316
3725.0,25.0,-1.1011467584451462,matrix,-1.1011467584451462
3775.0,25.0,-0.7267620434510778,matrix,-0.7267620434510778
3825.0,25.0,-0.41238027687232737,matrix,-0.41238027687232737
3875.0,25.0,-0.28169635001422666,matrix,-0.28169635001422666
3925.0,25.0,-0.3243869413887571,matrix,-0.3243869413887571
3975.0,25.0,-0.4571450411671325,matrix,-0.4571450411671325
25.0,75.0,0.3582562705068267,matrix,0.3582562705068267
75.0,75.0,0.5405386538028305,matrix,0.5405386538028305
125.0,75.0,0.7328110145790399,matrix,0.7328110145790399
175.0,75.0,1.008708572284808,matrix,1.008708572284808
225.0,75.0,1.3617097252836512,matrix,1.3617097252836512
275.0,75.0,1.7769300445399836,matrix,1.7769300445399836
325.0,75.0,2.1980587634075133,matrix,2.1980587634075133
375.0,75.0,2.5435565945179883,matrix,2.5435565945179883
425.0,75.0,2.55403240172596,matrix,2.55403240172596
475.0,75.0,2.0928990761080337,matrix,2.0928990761080337
525.0,75.0,1.3700356084510712,matrix,1.3700356084510712
575.0,75.0,0.6341110173833407,matrix,0.6341110173833407
625.0,75.0,-0.07416709824375345,matrix,-0.07416709824375345
675.0,75.0,-0.6843749915126383,matrix,-0.6843749915126383
725.0,75.0,-1.2083265752677008,matrix,-1.2083265752677008
775.0,75.0,-1.645110843797685,matrix,-1.645110843797685
825.0,75.0,-1.9713731845663793,matrix,-1.9713731845663793
875.0,75.0,-2.212092267559774,matrix,-2.212092267559774
925.0,75.0,-2.3186019643147424,matrix,-2.3186019643147424
975.0,75.0,-2.2587398160073855,matrix,-2.2587398160073855
1025.0,75.0,-1.9919090610366226,matrix,-1.9919090610366226
1075.0,75.0,-1.5805493690484838,matrix,-1.5805493690484838
1125.0,75.0,-1.1649185419483026,matrix,-1.1649185419483026
1175.0,75.0,-0.9820948838451762,matrix,-0.9820948838451762
1225.0,75.0,-1.0887735319126648,matrix,-1.0887735319126648
1275.0,75.0,-1.3985593233913753,matrix,-1.3985593233913753
1325.0,75.0,-1.8529664593766197,matrix,-1.8529664593766197
1375.0,75.0,-2.3410218803868044,matrix,-2.3410218803868044
1425.0,75.0,-2.834706574257118,matrix,-2.834706574257118
1475.0,75.0,-3.2559038183002693,matrix,-3.2559038183002693
1525.0,75.0,-3.466325532626835,matrix,-3.466325532626835
1575.0,75.0,-3.441324646953218,matrix,-3.441324646953218
1625.0,75.0,-3.2138899383163952,matrix,-3.2138899383163952
1675.0,75.0,-2.8718301344870394,matrix,-2.8718301344870394
1725.0,75.0,-2.4657342174260495,matrix,-2.4657342174260495
1775.0,75.0,-2.007149553468124,matrix,-2.007149553468124
1825.0,75.0,-1.535089196421068,matrix,-1.535089196421068
1875.0,75.0,-1.1129806913831501,matrix,-1.1129806913831501
1925.0,75.0,-0.7529545717349473,matrix,-0.7529545717349473
1975.0,75.0,-0.4776955070678768,matrix,-0.4776955070678768
2025.0,75.0,-0.24261888650088592,matrix,-0.24261888650088592
2075.0,75.0,-0.06743007251648814,matrix,-0.06743007251648814
2125.0,75.0,0.0452161377545367,matrix,0.0452161377545367
2175.0,75.0,0.11298232181755563,matrix,0.11298232181755563
2225.0,75.0,0.1280433326867466,matrix,0.1280433326867466
2275.0,75.0,0.07093621758156332,matrix,0.07093621758156332
2325.0,75.0,-0.1021188466682399,matrix,-0.1021188466682399
2375.0,75.0,-0.3705524677084906,matrix,-0.3705524677084906
2425.0,75.0,-0.5756198199196927,matrix,-0.5756198199196927
2475.0,75.0,-0.5614042205493777,matrix,-0.5614042205493777
2525.0,75.0,-0.32763938237174983,matrix,-0.32763938237174983
2575.0,75.0,0.0386961044464561,matrix,0.0386961044464561
2625.0,75.0,0.44431849995351724,matrix,0.44431849995351724
2675.0,75.0,0.8353105257335316,matrix,0.8353105257335316
2725.0,75.0,1.0736222768614136,matrix,1.0736222768614136
2775.0,75.0,1.110428472637265,matrix,1.110428472637265
2825.0,75.0,0.8939896640664495,matrix,0.8939896640664495
2875.0,75.0,0.511473826444128,matrix,0.511473826444128
2925.0,75.0,-0.028083819722298453,matrix,-0.028083819722298453
2975.0,75.0,-0.5531435893817858,matrix,-0.5531435893817858
3025.0,75.0,-0.9295682409738515,matrix,-0.9295682409738515
3075.0,75.0,-0.9520852948062744,matrix,-0.9520852948062744
3125.0,75.0,-0.7040929318319957,matrix,-0.7040929318319957
3175.0,75.0,-0.35547392276908196,matrix,-0.35547392276908196
3225.0,75.0,0.10494880610165003,matrix,0.10494880610165003
3275.0,75.0,0.42037615890689456,matrix,0.42037615890689456
3325.0,75.0,0.39189697159048464,matrix,0.39189697159048464
3375.0,75.0,-0.09857713044780969,matrix,-0.09857713044780969
3425.0,75.0,-0.8381097000945803,matrix,-0.8381097000945803
3475.0,75.0,-1.6133619645045978,matrix,-1.6133619645045978
3525.0,75.0,-2.2342711185705717,matrix,-2.2342711185705717
3575.0,75.0,-2.5852211117969266,matrix,-2.5852211117969266
3625.0,75.0,-2.6234070074408793,matrix,-2.6234070074408793
3675.0,75.0,-2.3994516680041267,matrix,-2.3994516680041267
3725.0,75.0,-2.016549958675453,matrix,-2.016549958675453
3775.0,75.0,-1.5826762936002607,matrix,-1.5826762936002607
3825.0,75.0,-1.1482689453795545,matrix,-1.1482689453795545
3875.0,75.0,-0.8423019060756676,matrix,-0.8423019060756676
3925.0,75.0,-0.7142215296516907,matrix,-0.7142215296516907
3975.0,75.0,-0.7417871837385146,matrix,-0.7417871837385146
25.0,125.0,0.35164252913667826,matrix,0.35164252913667826
75.0,125.0,0.4719251745757961,matrix,0.4719251745757961
125.0,125.0,0.5983971949482281,matrix,0.5983971949482281
175.0,125.0,0.7181648474491206,matrix,0.7181648474491206
225.0,125.0,0.9370456177476267,matrix,0.9370456177476267
275.0,125.0,1.1650435898988007,matrix,1.1650435898988007
325.0,125.0,1.4167766449862667,matrix,1.4167766449862667
375.0,125.0,1.5035826827574168,matrix,1.5035826827574168
425.0,125.0,1.3808258393514539,matrix,1.3808258393514539
475.0,125.0,0.9179397179028965,matrix,0.9179397179028965
525.0,125.0,0.24682478747997855,matrix,0.24682478747997855
575.0,125.0,-0.5540611638485753,matrix,-0.5540611638485753
625.0,125.0,-1.3045066325955033,matrix,-1.3045066325955033
675.0,125.0,-1.885974767392018,matrix,-1.885974767392018
725.0,125.0,-2.264159971345391,matrix,-2.264159971345391
775.0,125.0,-2.496635303666248,matrix,-2.496635303666248
825.0,125.0,-2.6804055130362943,matrix,-2.6804055130362943
875.0,125.0,-2.8569486636015773,matrix,-2.8569486636015773
925.0,125.0,-2.956899934595014,matrix,-2.956899934595014
975.0,125.0,-2.8551189319845256,matrix,-2.8551189319845256
1025.0,125.0,-2.42426616421383,matrix,-2.42426616421383
1075.0,125.0,-1.7835898945948512,matrix,-1.7835898945948512
1125.0,125.0,-1.1752513453724327,matrix,-1.1752513453724327
1175.0,125.0,-0.8753127416621826,matrix,-0.8753127416621826
1225.0,125.0,-0.9981086262857257,matrix,-0.9981086262857257
1275.0,125.0,-1.325043479856606,matrix,-1.325043479856606
1325.0,125.0,-1.6827322835529355,matrix,-1.6827322835529355
1375.0,125.0,-2.0078867860112877,matrix,-2.0078867860112877
1425.0,125.0,-2.342975092920053,matrix,-2.342975092920053
1475.0,125.0,-2.632793756594911,matrix,-2.632793756594911
1525.0,125.0,-2.809482859143696,matrix,-2.809482859143696
1575.0,125.0,-2.769054246335334,matrix,-2.769054246335334
